"agno","mes","dia","valor","sitio"
1981,6,1,14.7,"Pudahuel Santiago"
1981,7,1,18.7,"Pudahuel Santiago"
1981,8,1,10.7,"Pudahuel Santiago"
1981,9,1,11.3,"Pudahuel Santiago"
1981,10,1,5.3,"Pudahuel Santiago"
1981,11,1,0,"Pudahuel Santiago"
1981,12,1,0,"Pudahuel Santiago"
1982,1,1,0,"Pudahuel Santiago"
1982,2,1,0,"Pudahuel Santiago"
1982,3,1,42.8,"Pudahuel Santiago"
1982,4,1,0.1,"Pudahuel Santiago"
1982,5,1,101.3,"Pudahuel Santiago"
1982,6,1,190.1,"Pudahuel Santiago"
1982,7,1,95.4,"Pudahuel Santiago"
1982,8,1,55.1,"Pudahuel Santiago"
1982,9,1,38.2,"Pudahuel Santiago"
1982,10,1,9.3,"Pudahuel Santiago"
1982,11,1,0,"Pudahuel Santiago"
1982,12,1,0,"Pudahuel Santiago"
1983,1,1,7.4,"Pudahuel Santiago"
1983,2,1,0,"Pudahuel Santiago"
1983,3,1,0,"Pudahuel Santiago"
1983,4,1,29.3,"Pudahuel Santiago"
1983,5,1,50.1,"Pudahuel Santiago"
1983,6,1,85.8,"Pudahuel Santiago"
1983,7,1,82.4,"Pudahuel Santiago"
1983,8,1,45.2,"Pudahuel Santiago"
1983,9,1,39.4,"Pudahuel Santiago"
1983,10,1,0,"Pudahuel Santiago"
1983,11,1,0.2,"Pudahuel Santiago"
1983,12,1,0,"Pudahuel Santiago"
1984,1,1,0,"Pudahuel Santiago"
1984,2,1,0,"Pudahuel Santiago"
1984,3,1,1.5,"Pudahuel Santiago"
1984,4,1,0.2,"Pudahuel Santiago"
1984,5,1,76.5,"Pudahuel Santiago"
1984,6,1,31,"Pudahuel Santiago"
1984,7,1,246.7,"Pudahuel Santiago"
1984,8,1,42.9,"Pudahuel Santiago"
1984,9,1,25,"Pudahuel Santiago"
1984,10,1,16.3,"Pudahuel Santiago"
1984,11,1,3.5,"Pudahuel Santiago"
1984,12,1,0,"Pudahuel Santiago"
1985,1,1,0,"Pudahuel Santiago"
1985,2,1,0,"Pudahuel Santiago"
1985,3,1,25.2,"Pudahuel Santiago"
1985,4,1,0.2,"Pudahuel Santiago"
1985,5,1,33.6,"Pudahuel Santiago"
1985,6,1,21.8,"Pudahuel Santiago"
1985,7,1,47.5,"Pudahuel Santiago"
1985,8,1,6.9,"Pudahuel Santiago"
1985,9,1,4.8,"Pudahuel Santiago"
1985,10,1,14.9,"Pudahuel Santiago"
1985,11,1,0.1,"Pudahuel Santiago"
